row_id,skill_name,label,category,min_years,level,source_text
0,Tiếng Anh,required_skill,Soft Skill,,intermediate,Tiếng Anh tương đương 650+ Toeic
0,xác suất thống kê,required_skill,AI/ML/Data,,expert,Hiểu biết sâu về xác suất thống kê
0,toán,preferred_skill,AI/ML/Data,,expert,hiểu sâu về toán là lợi thế
0,mô hình học máy,required_skill,AI/ML/Data,,basic,Hiểu biết về các mô hình học máy
0,quản lý nhóm,required_skill,Soft Skill,,,Có khả năng quản lý nhóm thực hiện các yêu cầu phân tích chuyên sâu
0,phân tích dự đoán,required_skill,AI/ML/Data,,,phân tích chuyên sâu và phân tích dự đoán
0,Python,required_skill,Programming Language,,,"Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R"
0,R,required_skill,Programming Language,,,"Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R"
0,Recommendation System,preferred_skill,AI/ML/Data,,,Ưu tiên ứng viên đã có kinh nghiệm làm về các hệ thống Recommendation System
0,Reinforcement Learning,preferred_skill,AI/ML/Data,,,có sử dụng Reinforcement Learning
1,Automation Tester,required_skill,Testing & QA,3.0,,Có kinh nghiệm >3 năm về lĩnh vực kiểm thử phần mềm vị trí Automation Tester
1,SQL,required_skill,Database,,,Có kinh nghiệm về truy vấn cơ sở dữ liệu SQL hoặc API
1,API,required_skill,Engineering Concepts & Methodologies,,,Có kinh nghiệm về truy vấn cơ sở dữ liệu SQL hoặc API
1,kiểm thử tự động Mobile App,required_skill,Testing & QA,,,Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL
1,kiểm thử tự động web,required_skill,Testing & QA,,,Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL
1,kiểm thử tự động API,required_skill,Testing & QA,,,Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL
1,Jmeter,required_skill,Testing & QA,,,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven"
1,Postman,required_skill,Testing & QA,,,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven"
1,Jenkins,required_skill,Infrastructure & DevOps,,,"SQL, Jmeter, Postman, Jenkins, Git tool, Maven"
1,Git,required_skill,Tool & Platform,,,"Jenkins, Git tool, Maven"
1,Maven,required_skill,Tool & Platform,,,"Jenkins, Git tool, Maven"
1,Java,required_skill,Programming Language,,,Ngôn ngữ: Java
1,test plan,required_skill,Testing & QA,,,"Có kinh nghiệm lập test plan, test case, tạo data test"
1,test case,required_skill,Testing & QA,,,"Có kinh nghiệm lập test plan, test case, tạo data test"
1,tạo data test,required_skill,Testing & QA,,,tạo data test và hiểu về cơ sở dữ liệu
1,cơ sở dữ liệu,required_skill,Database,,,hiểu về cơ sở dữ liệu
1,Redmine,required_skill,Tool & Platform,,,"phần mềm quản lý lỗi: Redmine, Jira, Xray...."
1,Jira,required_skill,Tool & Platform,,,"phần mềm quản lý lỗi: Redmine, Jira, Xray...."
1,Xray,required_skill,Testing & QA,,,"phần mềm quản lý lỗi: Redmine, Jira, Xray...."
1,quy trình phát triển phần mềm,required_skill,Engineering Concepts & Methodologies,,,"nắm được quy trình phát triển phần mềm, quy trình kiểm thử"
1,quy trình kiểm thử,required_skill,Testing & QA,,,"quy trình phát triển phần mềm, quy trình kiểm thử"
1,kỹ thuật test,required_skill,Testing & QA,,,"các kỹ thuật, công cụ test"
1,công cụ test,required_skill,Testing & QA,,,"các kỹ thuật, công cụ test"
1,Serenity,preferred_skill,Testing & QA,,,"Ưu tiên: o UV làm với Serenity, Karate framework"
1,Karate framework,preferred_skill,Testing & QA,,,"Ưu tiên: o UV làm với Serenity, Karate framework"
1,nghiệp vụ ngân hàng,preferred_skill,Domain Knowledge,,,và có nghiệp vụ ngân hàng
1,ISTQB,preferred_skill,Other,,,o UV có chứng chỉ ISTQB
1,ETL,preferred_skill,Data Engineering & Analytics,,,"o UV có kinh nghiệm làm ETL, phân tích xử lý dữ liệu"
1,phân tích xử lý dữ liệu,preferred_skill,Data Engineering & Analytics,,,"làm ETL, phân tích xử lý dữ liệu"
1,công cụ kiểm thử tự động,preferred_skill,Testing & QA,,,hiểu biết về các công cụ kiểm thử tự động/ kiểm thử hiệu năng
1,kiểm thử hiệu năng,preferred_skill,Testing & QA,,,hiểu biết về các công cụ kiểm thử tự động/ kiểm thử hiệu năng
2,.NET,required_skill,Framework / Library,3.0,,Tối thiểu 3 năm kinh nghiệm phát triển backend với .NET / C#
2,C#,required_skill,Programming Language,3.0,,Tối thiểu 3 năm kinh nghiệm phát triển backend với .NET / C#
2,OOP,required_skill,Engineering Concepts & Methodologies,,,"Nắm vững OOP, SOLID, Design Patterns, Clean Architecture"
2,SOLID,required_skill,Engineering Concepts & Methodologies,,,"Nắm vững OOP, SOLID, Design Patterns, Clean Architecture"
2,Design Patterns,required_skill,Engineering Concepts & Methodologies,,,"Nắm vững OOP, SOLID, Design Patterns, Clean Architecture"
2,Clean Architecture,required_skill,Engineering Concepts & Methodologies,,,"Nắm vững OOP, SOLID, Design Patterns, Clean Architecture"
2,REST APIs,required_skill,Engineering Concepts & Methodologies,,,Có kinh nghiệm xây dựng REST APIs cho hệ thống backend
2,transaction management,required_skill,Engineering Concepts & Methodologies,,,"transaction management, caching, concurrency control, error handling"
2,caching,required_skill,Engineering Concepts & Methodologies,,,"transaction management, caching, concurrency control, error handling"
2,concurrency control,required_skill,Engineering Concepts & Methodologies,,,"transaction management, caching, concurrency control, error handling"
2,error handling,required_skill,Engineering Concepts & Methodologies,,,"transaction management, caching, concurrency control, error handling"
2,PostgreSQL,required_skill,Database,,,Có kinh nghiệm làm việc với PostgreSQL hoặc SQL Server
2,SQL Server,required_skill,Database,,,Có kinh nghiệm làm việc với PostgreSQL hoặc SQL Server
2,schema design,required_skill,Engineering Concepts & Methodologies,,,"schema design, indexing, query optimization, transaction handling"
2,indexing,required_skill,Database,,,"schema design, indexing, query optimization, transaction handling"
2,query optimization,required_skill,Engineering Concepts & Methodologies,,,"schema design, indexing, query optimization, transaction handling"
2,transaction handling,required_skill,Engineering Concepts & Methodologies,,,"schema design, indexing, query optimization, transaction handling"
2,Redis,required_skill,Database,,,"Có kinh nghiệm làm việc với Redis (caching, pub/sub, distributed lock)"
2,pub/sub,required_skill,Engineering Concepts & Methodologies,,,"Có kinh nghiệm làm việc với Redis (caching, pub/sub, distributed lock)"
2,distributed lock,required_skill,Engineering Concepts & Methodologies,,,"Có kinh nghiệm làm việc với Redis (caching, pub/sub, distributed lock)"
2,phân tích và giải quyết vấn đề,required_skill,Soft Skill,,,Có khả năng phân tích và giải quyết vấn đề kỹ thuật tốt
2,MongoDB,preferred_skill,Database,,,Ưu tiên: - Có kinh nghiệm với MongoDB hoặc NoSQL database.
2,NoSQL database,preferred_skill,Database,,,Ưu tiên: - Có kinh nghiệm với MongoDB hoặc NoSQL database.
2,ClickHouse,preferred_skill,Database,,,"Có kinh nghiệm với ClickHouse cho analytics, reporting, log aggregation"
2,Kafka,preferred_skill,Data Engineering & Analytics,,,Có kinh nghiệm với Kafka và CDC (Change Data Capture).
2,Change Data Capture,preferred_skill,Data Engineering & Analytics,,,Có kinh nghiệm với Kafka và CDC (Change Data Capture).
2,Docker,preferred_skill,Infrastructure & DevOps,,,Có kinh nghiệm làm việc với Docker và CI/CD pipeline.
2,CI/CD pipeline,preferred_skill,Infrastructure & DevOps,,,Có kinh nghiệm làm việc với Docker và CI/CD pipeline.
2,Kubernetes,preferred_skill,Infrastructure & DevOps,,,Hiểu về Kubernetes và kiến trúc microservices / distributed systems
2,kiến trúc microservices,preferred_skill,Engineering Concepts & Methodologies,,,Hiểu về Kubernetes và kiến trúc microservices / distributed systems
2,distributed systems,preferred_skill,Engineering Concepts & Methodologies,,,Hiểu về Kubernetes và kiến trúc microservices / distributed systems
2,ERP,preferred_skill,Domain Knowledge,,,Có kinh nghiệm với ERP / Retail / POS systems
2,Retail,preferred_skill,Domain Knowledge,,,Có kinh nghiệm với ERP / Retail / POS systems
2,POS systems,preferred_skill,Domain Knowledge,,,Có kinh nghiệm với ERP / Retail / POS systems
2,hệ thống sửa chữa / bảo hành thiết bị,preferred_skill,Domain Knowledge,,,hệ thống sửa chữa / bảo hành thiết bị.
2,xử lý hệ thống có lượng dữ liệu lớn,preferred_skill,Engineering Concepts & Methodologies,,,Có kinh nghiệm xử lý hệ thống có lượng dữ liệu lớn.
2,giao tiếp,required_skill,Soft Skill,,,"Kỹ năng giao tiếp tốt, có khả năng trình bày ý tưởng kỹ thuật rõ ràng"
2,teamwork,required_skill,Soft Skill,,,"Tinh thần teamwork, hợp tác hiệu quả trong môi trường cross-functional"
2,problem-solving,required_skill,Soft Skill,,,"Tư duy problem-solving, chủ động tìm giải pháp và đề xuất cải tiến"
3,BrSE,required_skill,Domain Knowledge,1.0,,At least 1 year of experience as a BrSE in the IT industry
3,PHP,required_skill,Programming Language,5.0,,5+ years of PHP development experience
3,Java,required_skill,Programming Language,,,Practical experience with Java development
3,AWS,required_skill,Infrastructure & DevOps,,,Hands-on experience with AWS development and cloud services
3,mentoring,required_skill,Soft Skill,,,"Experience in training, mentoring, or reviewing team members"
3,Japanese,required_skill,Soft Skill,,intermediate,Japanese proficiency JLPT N2 or higher
3,JLPT N2,required_skill,Other,,,Japanese proficiency JLPT N2 or higher
3,analytical skills,required_skill,Soft Skill,,,"Strong analytical, communication, and problem-solving skills"
3,communication,required_skill,Soft Skill,,,"Strong analytical, communication, and problem-solving skills"
3,problem-solving,required_skill,Soft Skill,,,"Strong analytical, communication, and problem-solving skills"
4,phân tích và thiết kế hệ thống,required_skill,Engineering Concepts & Methodologies,,,Kiến thức về phân tích và thiết kế hệ thống
4,quy trình nghiệp vụ,required_skill,Engineering Concepts & Methodologies,,,Hiểu biết về quy trình nghiệp vụ và mô hình hóa
4,mô hình hóa,required_skill,Engineering Concepts & Methodologies,,,Hiểu biết về quy trình nghiệp vụ và mô hình hóa
4,UML,required_skill,Tool & Platform,,,Kiến thức về UML và các công cụ mô hình hóa
4,công cụ mô hình hóa,required_skill,Tool & Platform,,,Kiến thức về UML và các công cụ mô hình hóa
4,BA,required_skill,Engineering Concepts & Methodologies,3.0,,Tối thiểu 3 năm kinh nghiệm làm BA
4,thu thập và phân tích yêu cầu,required_skill,Engineering Concepts & Methodologies,,,Kinh nghiệm thu thập và phân tích yêu cầu
4,viết tài liệu đặc tả yêu cầu,required_skill,Engineering Concepts & Methodologies,,,Kinh nghiệm viết tài liệu đặc tả yêu cầu
4,phát triển phần mềm,required_skill,Engineering Concepts & Methodologies,,,Kinh nghiệm làm việc trong các dự án phát triển phần mềm
4,giao tiếp,required_skill,Soft Skill,,,Kỹ năng giao tiếp và phỏng vấn người dùng
4,tư duy logic,required_skill,Soft Skill,,,Kỹ năng phân tích và tư duy logic
4,viết tài liệu,required_skill,Soft Skill,,,"Kỹ năng viết tài liệu rõ ràng, súc tích"
4,thuyết trình,required_skill,Soft Skill,,,Kỹ năng thuyết trình và làm việc nhóm
4,làm việc nhóm,required_skill,Soft Skill,,,Kỹ năng thuyết trình và làm việc nhóm
5,microservice,required_skill,Engineering Concepts & Methodologies,,,"Có kiến thức và hiểu biết về ứng dụng microservice, container"
5,container,required_skill,Infrastructure & DevOps,,,"ứng dụng microservice, container (Docker, Containerd, Kubernetes)"
5,Docker,required_skill,Infrastructure & DevOps,,,"container (Docker, Containerd, Kubernetes)"
5,Containerd,required_skill,Infrastructure & DevOps,,,"container (Docker, Containerd, Kubernetes)"
5,Kubernetes,required_skill,Infrastructure & DevOps,,,"container (Docker, Containerd, Kubernetes)"
5,Vmware,required_skill,Infrastructure & DevOps,,basic,Hiểu biết cơ bản về nền tảng Cloud Vmware hoặc Openstack
5,Openstack,required_skill,Infrastructure & DevOps,,basic,Hiểu biết cơ bản về nền tảng Cloud Vmware hoặc Openstack
5,VPC VDC,preferred_skill,Other,,,Có chứng chỉ chuyên môn liên quan đến VPC VDC... là lợi thế
5,VPC Automation,preferred_skill,Other,,,Có chứng chỉ chuyên môn... VPC Automation... là lợi thế
5,VPC Network & Security,preferred_skill,Other,,,Có chứng chỉ chuyên môn... VPC Network & Security là lợi thế
5,Tiếng Anh,required_skill,Soft Skill,,basic,Tiếng Anh tương đương 550 Toeic
5,Linux,preferred_skill,Tool & Platform,,,"Ưu tiên có kinh nghiệm về Linux (Ubuntu, CentOS)"
5,Python,preferred_skill,Programming Language,,basic,"lập trình mức cơ bản với ít nhất 1 ngôn ngữ (Python, Bash script)"
5,Bash script,preferred_skill,Programming Language,,basic,"lập trình mức cơ bản với ít nhất 1 ngôn ngữ (Python, Bash script)"
6,DA,required_skill,Data Engineering & Analytics,2.0,,Từ 2 năm kinh nghiệm DA
6,Exploratory Data Analysis - EDA,required_skill,Data Engineering & Analytics,,,phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA)
6,Data Visualization,required_skill,Data Engineering & Analytics,,,trực quan hóa dữ liệu (Data Visualization)
6,RDBMS,required_skill,Database,,,"Kiến thức về các loại CSDL (RDBMS, Graph Databases, NoSQL...)"
6,Graph Databases,required_skill,Database,,,"Kiến thức về các loại CSDL (RDBMS, Graph Databases, NoSQL...)"
6,NoSQL Products,required_skill,Database,,,"Kiến thức về các loại CSDL (RDBMS, Graph Databases, NoSQL...)"
6,Hadoop,required_skill,Data Engineering & Analytics,,,"xử lý dữ liệu lớn (Hadoop, Spark, Elasticsearch…)"
6,Spark,required_skill,Data Engineering & Analytics,,,"xử lý dữ liệu lớn (Hadoop, Spark, Elasticsearch…)"
6,Elasticsearch,required_skill,Database,,,"xử lý dữ liệu lớn (Hadoop, Spark, Elasticsearch…)"
6,SQL,required_skill,Database,,,Kỹ năng sử dụng SQL
6,Tableau,required_skill,Data Engineering & Analytics,,,"công cụ trực quan hóa dữ liệu (Tableau, QLikView, PowerBI,...)"
6,QLikView,required_skill,Data Engineering & Analytics,,,"công cụ trực quan hóa dữ liệu (Tableau, QLikView, PowerBI,...)"
6,PowerBI,required_skill,Data Engineering & Analytics,,,"công cụ trực quan hóa dữ liệu (Tableau, QLikView, PowerBI,...)"
7,PostgreSQL,required_skill,Database,1.0,,"Có 1 năm kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu như PostgreSQL, MySQL, SQL Server"
7,MySQL,required_skill,Database,1.0,,"Có 1 năm kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu như PostgreSQL, MySQL, SQL Server"
7,SQL Server,required_skill,Database,1.0,,"Có 1 năm kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu như PostgreSQL, MySQL, SQL Server"
7,Python,required_skill,Programming Language,,expert,"Thành thạo Python (ưu tiên có kinh nghiệm với Jupyter Notebook, Pandas, PySpark)"
7,Jupyter Notebook,preferred_skill,Tool & Platform,,,"ưu tiên có kinh nghiệm với Jupyter Notebook, Pandas, PySpark"
7,Pandas,preferred_skill,Framework / Library,,,"ưu tiên có kinh nghiệm với Jupyter Notebook, Pandas, PySpark"
7,PySpark,preferred_skill,Data Engineering & Analytics,,,"ưu tiên có kinh nghiệm với Jupyter Notebook, Pandas, PySpark"
7,giải quyết vấn đề,required_skill,Soft Skill,,,"Kỹ năng giải quyết vấn đề, tư duy logic"
7,tư duy logic,required_skill,Soft Skill,,,"Kỹ năng giải quyết vấn đề, tư duy logic"
7,nghiên cứu công nghệ mới,required_skill,Soft Skill,,,khả năng nghiên cứu công nghệ mới tốt
8,Data Scientist,required_skill,Other,2.0,,Tối thiểu 2 năm kinh nghiệm ở vị trí Data Scientist
8,B2C,required_skill,Domain Knowledge,,,Có kinh nghiệm làm việc trong môi trường B2C / Retail / F&B / E-commerce
8,Retail,required_skill,Domain Knowledge,,,Có kinh nghiệm làm việc trong môi trường B2C / Retail / F&B / E-commerce
8,F&B,required_skill,Domain Knowledge,,,Có kinh nghiệm làm việc trong môi trường B2C / Retail / F&B / E-commerce
8,E-commerce,required_skill,Domain Knowledge,,,Có kinh nghiệm làm việc trong môi trường B2C / Retail / F&B / E-commerce
8,Python,required_skill,Programming Language,,expert,"Thành thạo Python (pandas, NumPy, scikit-learn; ưu tiên LightGBM/XGBoost) và SQL"
8,pandas,required_skill,Framework / Library,,,"Thành thạo Python (pandas, NumPy, scikit-learn;...)"
8,NumPy,required_skill,Framework / Library,,,"Thành thạo Python (pandas, NumPy, scikit-learn;...)"
8,scikit-learn,required_skill,Framework / Library,,,"Thành thạo Python (pandas, NumPy, scikit-learn;...)"
8,LightGBM,preferred_skill,Framework / Library,,,ưu tiên LightGBM/XGBoost
8,XGBoost,preferred_skill,Framework / Library,,,ưu tiên LightGBM/XGBoost
8,SQL,required_skill,Database,,expert,Thành thạo Python (...) và SQL
8,Machine Learning,required_skill,AI/ML/Data,,expert,"Nắm vững Machine Learning (classification, regression, feature engineering)"
8,classification,required_skill,AI/ML/Data,,,"Machine Learning (classification, regression, feature engineering)"
8,regression,required_skill,AI/ML/Data,,,"Machine Learning (classification, regression, feature engineering)"
8,feature engineering,required_skill,AI/ML/Data,,,"Machine Learning (classification, regression, feature engineering)"
8,Forecasting,required_skill,AI/ML/Data,,expert,Nắm vững Machine Learning (...) và Forecasting
8,A/B testing,required_skill,Engineering Concepts & Methodologies,,,"Có kinh nghiệm A/B testing, phân tích dữ liệu"
8,phân tích dữ liệu,required_skill,Data Engineering & Analytics,,,"A/B testing, phân tích dữ liệu và giải quyết bài toán kinh doanh"
8,giải quyết bài toán kinh doanh,required_skill,Soft Skill,,,giải quyết bài toán kinh doanh thực tế
8,triển khai mô hình ML,required_skill,Infrastructure & DevOps,,,"tham gia triển khai mô hình ML, MLOps cơ bản"
8,MLOps,required_skill,Infrastructure & DevOps,,basic,"MLOps cơ bản (MLflow, Docker, batch/API)"
8,MLflow,required_skill,Infrastructure & DevOps,,,"MLOps cơ bản (MLflow, Docker, batch/API)"
8,Docker,required_skill,Infrastructure & DevOps,,,"MLOps cơ bản (MLflow, Docker, batch/API)"
8,batch,required_skill,Engineering Concepts & Methodologies,,,"MLOps cơ bản (MLflow, Docker, batch/API)"
8,API,required_skill,Engineering Concepts & Methodologies,,,"MLOps cơ bản (MLflow, Docker, batch/API)"
9,Database Administrator,required_skill,Database,3.0,,từ 3 năm kinh nghiệm DBA / Database Administrator
9,PostgreSQL,required_skill,Database,,expert,Thành thạo PostgreSQL
9,Odoo,preferred_skill,Domain Knowledge,,,(ưu tiên có kinh nghiệm với Odoo)
9,SQL,required_skill,Database,,expert,Thành thạo SQL và query tuning
9,query tuning,required_skill,Engineering Concepts & Methodologies,,expert,Thành thạo SQL và query tuning
9,vận hành hệ thống production,required_skill,Infrastructure & DevOps,,,Kinh nghiệm vận hành hệ thống production
9,Index,required_skill,Database,,expert,"Hiểu rõ: Index, Transaction, Lock, Replication cơ bản"
9,Transaction,required_skill,Engineering Concepts & Methodologies,,expert,"Hiểu rõ: Index, Transaction, Lock, Replication cơ bản"
9,Lock,required_skill,Engineering Concepts & Methodologies,,expert,"Hiểu rõ: Index, Transaction, Lock, Replication cơ bản"
9,Replication,required_skill,Database,,basic,Replication cơ bản
9,Backup,required_skill,Database,,expert,Backup/Restore
9,Restore,required_skill,Database,,expert,Backup/Restore
9,Linux server,required_skill,Infrastructure & DevOps,,basic,Linux server cơ bản
9,xử lý sự cố,required_skill,Soft Skill,,,Có khả năng xử lý sự cố
9,support hệ thống live,required_skill,IT Support & Hardware,,,support hệ thống live
9,Odoo ERP,preferred_skill,Domain Knowledge,,,Kinh nghiệm làm việc với Odoo ERP
9,hệ thống ERP,preferred_skill,Domain Knowledge,,,hệ thống ERP tương tự
9,ORM,preferred_skill,Engineering Concepts & Methodologies,,,Hiểu ORM và workload nhiều transaction
9,workload nhiều transaction,preferred_skill,Engineering Concepts & Methodologies,,,workload nhiều transaction
9,Tối ưu bảng dữ liệu lớn,preferred_skill,Database,,,Tối ưu bảng dữ liệu lớn (logs/transactions)
9,xử lý lock,preferred_skill,Engineering Concepts & Methodologies,,,"Kinh nghiệm xử lý lock, deadlock, blocking session"
9,deadlock,preferred_skill,Engineering Concepts & Methodologies,,,"Kinh nghiệm xử lý lock, deadlock, blocking session"
9,blocking session,preferred_skill,Engineering Concepts & Methodologies,,,"Kinh nghiệm xử lý lock, deadlock, blocking session"
9,Grafana,preferred_skill,Infrastructure & DevOps,,,Monitoring tools (Grafana/Prometheus/Zabbix)
9,Prometheus,preferred_skill,Infrastructure & DevOps,,,Monitoring tools (Grafana/Prometheus/Zabbix)
9,Zabbix,preferred_skill,Infrastructure & DevOps,,,Monitoring tools (Grafana/Prometheus/Zabbix)
10,DevOps,required_skill,Infrastructure & DevOps,5.0,,5+ years of hands-on experience in DevOps or Site Reliability Engineering
10,Site Reliability Engineering,required_skill,Infrastructure & DevOps,5.0,,5+ years of hands-on experience in DevOps or Site Reliability Engineering
10,AWS,required_skill,Infrastructure & DevOps,,expert,Deep expertise in AWS (preferred with holding cerifications)
10,AWS certifications,preferred_skill,Other,,,AWS (preferred with holding cerifications)
10,Azure,preferred_skill,Infrastructure & DevOps,,,exposure to Azure or GCP being advantageous
10,GCP,preferred_skill,Infrastructure & DevOps,,,exposure to Azure or GCP being advantageous
10,IaC,required_skill,Infrastructure & DevOps,,,manage infrastructure using IaC tools
10,Terraform,required_skill,Infrastructure & DevOps,,,"IaC tools such as Terraform, Terragrunt, or AWS CloudFormation"
10,Terragrunt,required_skill,Infrastructure & DevOps,,,"IaC tools such as Terraform, Terragrunt, or AWS CloudFormation"
10,AWS CloudFormation,required_skill,Infrastructure & DevOps,,,"IaC tools such as Terraform, Terragrunt, or AWS CloudFormation"
10,CI/CD pipelines,required_skill,Infrastructure & DevOps,,intermediate,Solid track record working within CI/CD pipelines
10,GitLab CI,required_skill,Infrastructure & DevOps,,,particularly GitLab CI and ArgoCD-driven GitOps workflows
10,ArgoCD,required_skill,Infrastructure & DevOps,,,ArgoCD-driven GitOps workflows
10,GitOps,required_skill,Infrastructure & DevOps,,,ArgoCD-driven GitOps workflows
10,Kubernetes,required_skill,Infrastructure & DevOps,,expert,strong proficiency in Kubernetes
10,microservices,required_skill,Engineering Concepts & Methodologies,,,"monitoring stacks for distributed, microservices"
10,OpenTelemetry,required_skill,Infrastructure & DevOps,,,"including OpenTelemetry, Prometheus, Grafana, LGMT and/or ELK"
10,Prometheus,required_skill,Infrastructure & DevOps,,,"including OpenTelemetry, Prometheus, Grafana, LGMT and/or ELK"
10,Grafana,required_skill,Infrastructure & DevOps,,,"including OpenTelemetry, Prometheus, Grafana, LGMT and/or ELK"
10,LGMT,required_skill,Infrastructure & DevOps,,,"including OpenTelemetry, Prometheus, Grafana, LGMT and/or ELK"
10,ELK,required_skill,Infrastructure & DevOps,,,"including OpenTelemetry, Prometheus, Grafana, LGMT and/or ELK"
10,DataDog,required_skill,Infrastructure & DevOps,,,observability platforms such as DataDog and Jaeger
10,Jaeger,required_skill,Infrastructure & DevOps,,,observability platforms such as DataDog and Jaeger
10,networking fundamentals,required_skill,Infrastructure & DevOps,,basic,Grounded knowledge of networking fundamentals
10,cybersecurity principles,required_skill,Infrastructure & DevOps,,basic,cybersecurity principles
10,database operations,required_skill,Database,,basic,database operations
10,scripting and automation,required_skill,Engineering Concepts & Methodologies,,,scripting and automation capabilities in Bash and Python
10,Bash,required_skill,Programming Language,,,capabilities in Bash and Python
10,Python,required_skill,Programming Language,,,capabilities in Bash and Python
10,problem-solving,required_skill,Soft Skill,,,a structured approach to problem-solving
10,communication,required_skill,Soft Skill,,,a collaborative communication style
11,ERP,required_skill,Domain Knowledge,2.0,,"2–5 years of experience in full-cycle implementation of enterprise business solutions (ERP, SFA, OMS, DMS or equivalent)"
11,SFA,required_skill,Domain Knowledge,2.0,,"2–5 years of experience in full-cycle implementation of enterprise business solutions (ERP, SFA, OMS, DMS or equivalent)"
